,level,position,salaries
202,Senior,Team / Tech Lead,14.000
203,Senior,Team / Tech Lead,32.000
205,Junior,Front-end Developer,8.000
206,Senior,Mobile Application Developer,50.000
207,Senior,DevOps Engineer,10.000
208,Middle,Back-end Developer,15.000
209,Junior,Mobile Application Developer,10.000
210,Senior,Software Architect,20.000
211,Junior,Back-end Developer,5.000
212,Senior,Mobile Application Developer,27.000
213,Senior,Mobile Application Developer,21.000
214,Senior,Front-end Developer,8.000
215,Senior,Full Stack Developer,20.000
216,Senior,Full Stack Developer,50.000
217,Junior,Back-end Developer,11.000
218,Junior,Back-end Developer,7.000
219,Middle,Back-end Developer,17.000
220,Middle,Machine Learning,9.000
221,Junior,Full Stack Developer,9.000
222,Middle,Back-end Developer,13.000
223,Middle,Full Stack Developer,13.000
224,Senior,Front-end Developer,16.000
225,Middle,Full Stack Developer,9.000
226,Senior,Full Stack Developer,13.000
227,Middle,Full Stack Developer,17.000
228,Middle,Full Stack Developer,15.000
229,Middle,DevOps Engineer,18.000
230,Middle,Front-end Developer,7.000
231,Middle,Full Stack Developer,15.000
232,Junior,Front-end Developer,8.000
233,Junior,Back-end Developer,8.000
234,Senior,Back-end Developer,16.000
236,Middle,Full Stack Developer,9.000
237,Junior,Mobile Application Developer,5.000
239,Middle,Mobile Application Developer,15.000
240,Junior,Mobile Application Developer,7.000
241,Junior,Mobile Application Developer,8.000
242,Middle,QA / Test Automation Developer,20.000
243,Senior,Front-end Developer,9.000
244,Senior,Data Analyst,13.000
245,Senior,Back-end Developer,16.000
246,Senior,Team / Tech Lead,50.000
247,Senior,Full Stack Developer,17.000
248,Middle,Mobile Application Developer,13.000
249,Middle,Front-end Developer,18.000
250,Middle,Full Stack Developer,17.000
251,Junior,Front-end Developer,9.000
252,Senior,QA / Test Automation Developer,19.000
253,Junior,Back-end Developer,5.000
254,Junior,Machine Learning,7.000
255,Junior,Full Stack Developer,6.000
256,Junior,Back-end Developer,5.000
257,Junior,Mobile Application Developer,5.000
258,Middle,Full Stack Developer,13.000
259,Middle,Full Stack Developer,10.000
260,Junior,Back-end Developer,7.000
262,Middle,Back-end Developer,19.000
264,Junior,Front-end Developer,8.000
265,Senior,Full Stack Developer,25.000
266,Senior,Team / Tech Lead,21.000
267,Senior,Back-end Developer,22.000
268,Senior,CTO,21.000
269,Junior,Mobile Application Developer,9.000
270,Middle,Front-end Developer,8.000
271,Junior,Back-end Developer,9.000
272,Junior,Back-end Developer,7.000
273,Senior,Full Stack Developer,25.000
274,Middle,Back-end Developer,14.000
275,Junior,Full Stack Developer,9.000
276,Junior,Full Stack Developer,7.000
277,Senior,Full Stack Developer,5.000
279,Junior,Back-end Developer,8.000
280,Senior,Mobile Application Developer,33.000
281,Senior,Front-end Developer,18.000
282,Middle,Back-end Developer,8.000
284,Middle,Full Stack Developer,23.000
285,Senior,Game Developer,10.000
286,Senior,Back-end Developer,9.000
287,Middle,Mobile Application Developer,15.000
288,Middle,Mobile Application Developer,15.000
290,Senior,Full Stack Developer,20.000
291,Junior,Back-end Developer,8.000
292,Middle,Data Scientist,15.000
293,Senior,Full Stack Developer,27.000
294,Junior,Mobile Application Developer,5.000
295,Senior,Software Architect,35.000
296,Junior,DevOps Engineer,7.000
297,Senior,Full Stack Developer,15.000
298,Middle,QA / Test Automation Developer,20.000
299,Senior,Front-end Developer,20.000
300,Middle,Mobile Application Developer,13.000
301,Junior,Game Developer,6.000
304,Junior,Back-end Developer,8.000
305,Senior,Back-end Developer,22.000
306,Senior,Front-end Developer,50.000
307,Junior,QA / Test Automation Developer,6.000
308,Middle,Full Stack Developer,22.000
309,Junior,Front-end Developer,16.000
310,Junior,Team / Tech Lead,7.000
312,Middle,Machine Learning,10.000
314,Middle,Full Stack Developer,15.000
315,Middle,Machine Learning,25.000
317,Senior,Full Stack Developer,29.000
319,Senior,Mobile Application Developer,20.000
320,Senior,Back-end Developer,22.000
321,Middle,Game Developer,8.000
322,Senior,Full Stack Developer,19.000
323,Junior,Mobile Application Developer,11.000
324,Middle,Front-end Developer,40.000
325,Junior,Back-end Developer,9.000
326,Middle,Full Stack Developer,8.000
327,Senior,Team / Tech Lead,14.000
328,Junior,QA / Test Automation Developer,12.000
329,Senior,Full Stack Developer,12.000
330,Senior,Mobile Application Developer,30.000
331,Middle,Database Administrator,10.000
332,Junior,Full Stack Developer,50.000
334,Senior,Back-end Developer,11.000
335,Senior,Mobile Application Developer,18.000
336,Senior,Database Administrator,29.000
337,Senior,Full Stack Developer,8.000
338,Middle,Front-end Developer,10.000
339,Senior,Back-end Developer,32.000
340,Junior,Computer Vision Engineer,8.000
341,Senior,Team / Tech Lead,23.000
343,Senior,Game Developer,35.000
344,Middle,Back-end Developer,14.000
347,Middle,Game Developer,10.000
348,Junior,Front-end Developer,5.000
349,Senior,Software Architect,30.000
351,Junior,Back-end Developer,19.000
352,Junior,Front-end Developer,9.000
353,Senior,Back-end Developer,35.000
354,Senior,Full Stack Developer,28.000
355,Junior,Game Developer,9.000
356,Middle,Back-end Developer,15.000
357,Senior,Front-end Developer,15.000
358,Junior,Front-end Developer,9.000
359,Middle,QA / Test Automation Developer,9.000
360,Senior,Back-end Developer,22.000
361,Middle,Full Stack Developer,10.000
362,Middle,Back-end Developer,10.000
363,Junior,DevOps Engineer,10.000
364,Senior,Full Stack Developer,20.000
365,Senior,Team / Tech Lead,25.000
366,Senior,Mobile Application Developer,17.000
367,Senior,Team / Tech Lead,21.000
369,Junior,Mobile Application Developer,10.000
370,Senior,Back-end Developer,25.000
371,Junior,Back-end Developer,6.000
372,Senior,Software Development Manager,40.000
373,Senior,Software Development Manager,50.000
374,Senior,Team / Tech Lead,20.000
375,Senior,Team / Tech Lead,23.000
377,Junior,Front-end Developer,8.000
378,Senior,Team / Tech Lead,29.000
379,Junior,Back-end Developer,8.000
380,Middle,Full Stack Developer,16.000
381,Senior,Mobile Application Developer,26.000
382,Senior,Full Stack Developer,15.000
383,Junior,Full Stack Developer,11.000
384,Middle,Back-end Developer,17.000
385,Senior,Full Stack Developer,11.000
386,Middle,Full Stack Developer,9.000
387,Junior,Back-end Developer,6.000
388,Senior,Back-end Developer,14.000
389,Junior,Full Stack Developer,7.000
390,Junior,Embedded Software Developer,11.000
391,Middle,Front-end Developer,16.000
394,Middle,QA / Test Automation Developer,10.000
395,Senior,Back-end Developer,20.000
397,Senior,Back-end Developer,22.000
398,Senior,Software Architect,30.000
399,Middle,Back-end Developer,11.000
400,Middle,Back-end Developer,29.000
401,Junior,Back-end Developer,25.000
403,Junior,Mobile Application Developer,5.000
404,Senior,Team / Tech Lead,22.000
405,Middle,Back-end Developer,21.000
406,Junior,IT Specialist,8.000
408,Senior,Back-end Developer,19.000
409,Middle,Back-end Developer,9.000
410,Middle,Back-end Developer,14.000
411,Senior,Full Stack Developer,20.000
413,Junior,Mobile Application Developer,5.000
414,Junior,Back-end Developer,11.000
415,Middle,Full Stack Developer,7.000
416,Senior,Back-end Developer,23.000
417,Senior,Team / Tech Lead,24.000
418,Senior,Project & Product Manager / PO,24.000
419,Senior,Full Stack Developer,24.000
420,Middle,Back-end Developer,11.000
421,Middle,Back-end Developer,19.000
422,Senior,Full Stack Developer,19.000
423,Senior,Mobile Application Developer,20.000
424,Senior,Mobile Application Developer,24.000
425,Senior,Team / Tech Lead,25.000
426,Junior,QA / Test Automation Developer,17.000
427,Junior,Back-end Developer,10.000
428,Senior,Database Administrator,16.000
429,Senior,Back-end Developer,31.000
430,Middle,Full Stack Developer,11.000
431,Senior,Full Stack Developer,22.000
432,Senior,Mobile Application Developer,19.000
433,Junior,Computer Vision Engineer,9.000
434,Junior,Front-end Developer,5.000
435,Middle,Back-end Developer,20.000
436,Senior,Full Stack Developer,20.000
437,Senior,Full Stack Developer,30.000
438,Junior,Front-end Developer,13.000
439,Senior,Mobile Application Developer,15.000
440,Senior,Team / Tech Lead,17.000
441,Senior,Back-end Developer,15.000
443,Middle,Full Stack Developer,9.000
444,Middle,Front-end Developer,13.000
445,Senior,Software Architect,27.000
446,Middle,Full Stack Developer,25.000
447,Senior,Full Stack Developer,30.000
448,Middle,Team / Tech Lead,13.000
449,Middle,Software Architect,20.000
450,Middle,Back-end Developer,17.000
451,Senior,Full Stack Developer,18.000
452,Senior,QA / Test Automation Developer,21.000
453,Senior,Team / Tech Lead,35.000
454,Middle,Full Stack Developer,14.000
455,Senior,Full Stack Developer,31.000
456,Middle,Full Stack Developer,9.000
457,Middle,Full Stack Developer,20.000
458,Middle,IT Specialist,5.000
459,Junior,Full Stack Developer,8.000
461,Junior,DevOps Engineer,14.000
462,Middle,Embedded Software Developer,16.000
463,Senior,Team / Tech Lead,42.000
464,Senior,Back-end Developer,16.000
465,Middle,Full Stack Developer,15.000
466,Junior,Back-end Developer,8.000
467,Junior,Mobile Application Developer,13.000
468,Senior,Project & Product Manager / PO,25.000
469,Middle,Full Stack Developer,15.000
470,Senior,Front-end Developer,10.000
471,Senior,Software Architect,28.000
472,Junior,Back-end Developer,5.000
473,Senior,Software Development Manager,25.000
474,Senior,Back-end Developer,17.000
475,Senior,Back-end Developer,18.000
476,Senior,Team / Tech Lead,20.000
477,Senior,Team / Tech Lead,34.000
478,Junior,Back-end Developer,8.000
479,Junior,Team / Tech Lead,7.000
480,Senior,Full Stack Developer,15.000
481,Senior,Software Development Manager,40.000
482,Junior,Software Development Manager,12.000
483,Middle,Front-end Developer,15.000
484,Senior,Full Stack Developer,20.000
485,Senior,Team / Tech Lead,33.000
486,Middle,Back-end Developer,12.000
487,Senior,Team / Tech Lead,25.000
488,Middle,Back-end Developer,8.000
489,Middle,Front-end Developer,15.000
490,Senior,Full Stack Developer,20.000
491,Senior,Full Stack Developer,22.000
492,Senior,Back-end Developer,16.000
493,Middle,Front-end Developer,11.000
494,Senior,Software Architect,35.000
495,Senior,Consultant,13.000
496,Middle,Front-end Developer,33.000
497,Senior,CTO,15.000
498,Senior,Front-end Developer,15.000
499,Middle,Back-end Developer,20.000
500,Middle,Back-end Developer,14.000
501,Middle,Back-end Developer,14.000
502,Middle,Front-end Developer,15.000
503,Senior,Mobile Application Developer,22.000
504,Junior,Front-end Developer,6.000
505,Senior,Team / Tech Lead,19.000
506,Senior,Team / Tech Lead,32.000
507,Junior,Full Stack Developer,7.000
508,Junior,Front-end Developer,18.000
509,Senior,Back-end Developer,12.000
510,Middle,Back-end Developer,14.000
511,Middle,Mobile Application Developer,12.000
512,Middle,Full Stack Developer,15.000
513,Senior,Back-end Developer,30.000
514,Senior,R&D Engineer,9.000
515,Senior,Back-end Developer,20.000
516,Middle,Full Stack Developer,14.000
517,Senior,Full Stack Developer,15.000
518,Senior,Team / Tech Lead,24.000
519,Senior,Back-end Developer,23.000
520,Senior,Software Architect,23.000
522,Senior,Team / Tech Lead,25.000
523,Senior,Back-end Developer,34.000
524,Junior,Full Stack Developer,10.000
525,Middle,Full Stack Developer,14.000
526,Senior,Team / Tech Lead,17.000
527,Middle,Back-end Developer,6.000
528,Senior,Team / Tech Lead,18.000
529,Senior,Back-end Developer,28.000
530,Senior,Team / Tech Lead,29.000
531,Middle,Front-end Developer,5.000
532,Middle,Team / Tech Lead,10.000
533,Middle,Back-end Developer,12.000
534,Middle,Full Stack Developer,7.000
535,Middle,Full Stack Developer,19.000
536,Senior,QA / Test Automation Developer,12.000
537,Middle,Full Stack Developer,14.000
538,Senior,Team / Tech Lead,29.000
539,Junior,Data Analyst,7.000
540,Senior,Front-end Developer,20.000
541,Junior,Back-end Developer,8.000
542,Senior,Full Stack Developer,19.000
543,Senior,Full Stack Developer,23.000
544,Senior,Back-end Developer,18.000
545,Middle,Back-end Developer,23.000
546,Senior,Mobile Application Developer,27.000
547,Middle,Mobile Application Developer,8.000
548,Senior,Team / Tech Lead,30.000
549,Senior,Back-end Developer,18.000
550,Senior,Embedded Software Developer,19.000
552,Senior,Front-end Developer,28.000
553,Senior,Software Development Manager,49.000
554,Senior,Back-end Developer,20.000
555,Senior,Back-end Developer,13.000
556,Senior,Full Stack Developer,22.000
557,Senior,Back-end Developer,18.000
558,Junior,Full Stack Developer,6.000
559,Junior,DevOps Engineer,11.000
560,Middle,Full Stack Developer,10.000
561,Middle,Back-end Developer,23.000
562,Middle,Front-end Developer,15.000
563,Senior,Full Stack Developer,23.000
564,Middle,Full Stack Developer,17.000
565,Senior,Software Development Manager,34.000
566,Junior,Full Stack Developer,5.000
567,Senior,Team / Tech Lead,47.000
568,Middle,Full Stack Developer,18.000
569,Junior,Front-end Developer,9.000
570,Senior,Full Stack Developer,30.000
573,Middle,Mobile Application Developer,15.000
574,Senior,Full Stack Developer,14.000
575,Senior,Full Stack Developer,13.000
576,Junior,Front-end Developer,8.000
577,Middle,Front-end Developer,15.000
578,Senior,Software Architect,26.000
579,Middle,Back-end Developer,12.000
580,Junior,DevOps Engineer,6.000
581,Senior,Full Stack Developer,16.000
582,Junior,Game Developer,50.000
583,Senior,Software Architect,28.000
584,Middle,Full Stack Developer,10.000
585,Middle,Back-end Developer,27.000
586,Junior,Full Stack Developer,19.000
587,Middle,Full Stack Developer,6.000
588,Middle,Full Stack Developer,6.000
589,Junior,Back-end Developer,6.000
591,Senior,Software Development Manager,50.000
592,Senior,Back-end Developer,12.000
593,Middle,Mobile Application Developer,13.000
594,Senior,Back-end Developer,18.000
595,Middle,Back-end Developer,14.000
596,Senior,Full Stack Developer,25.000
597,Middle,Full Stack Developer,16.000
598,Senior,Back-end Developer,15.000
599,Junior,Full Stack Developer,8.000
600,Junior,Mobile Application Developer,10.000
601,Junior,Front-end Developer,10.000
602,Middle,Mobile Application Developer,6.000
603,Middle,Back-end Developer,13.000
604,Senior,Front-end Developer,27.000
605,Junior,Data Scientist,8.000
606,Junior,Full Stack Developer,12.000
607,Middle,Machine Learning,12.000
608,Senior,Mobile Application Developer,31.000
609,Middle,Back-end Developer,11.000
610,Senior,Back-end Developer,14.000
611,Middle,Mobile Application Developer,15.000
612,Junior,Back-end Developer,10.000
613,Middle,Front-end Developer,15.000
614,Junior,Back-end Developer,6.000
615,Senior,Software Development Manager,35.000
616,Senior,Back-end Developer,19.000
617,Junior,DevOps Engineer,10.000
618,Senior,Full Stack Developer,31.000
619,Middle,Back-end Developer,9.000
620,Senior,Back-end Developer,36.000
621,Senior,Full Stack Developer,25.000
622,Senior,Back-end Developer,16.000
625,Senior,Full Stack Developer,26.000
626,Senior,Team / Tech Lead,29.000
627,Middle,Embedded Software Developer,15.000
629,Middle,Front-end Developer,10.000
630,Middle,Full Stack Developer,29.000
631,Junior,Back-end Developer,7.000
632,Middle,Mobile Application Developer,12.000
633,Senior,Full Stack Developer,17.000
634,Senior,Back-end Developer,35.000
635,Senior,Software Development Manager,50.000
636,Middle,Full Stack Developer,14.000
637,Junior,Back-end Developer,17.000
638,Junior,Mobile Application Developer,5.000
639,Senior,Back-end Developer,20.000
640,Middle,Back-end Developer,14.000
641,Senior,Software Development Manager,30.000
642,Senior,Full Stack Developer,15.000
643,Middle,CTO,24.000
644,Senior,Full Stack Developer,24.000
645,Junior,Front-end Developer,15.000
646,Senior,CTO,37.000
647,Middle,Front-end Developer,6.000
648,Middle,Full Stack Developer,12.000
649,Senior,Back-end Developer,18.000
650,Senior,Full Stack Developer,24.000
651,Junior,QA / Test Automation Developer,14.000
652,Junior,QA / Test Automation Developer,5.000
653,Junior,Full Stack Developer,9.000
654,Senior,Team / Tech Lead,22.000
655,Senior,Back-end Developer,18.000
656,Senior,Mobile Application Developer,33.000
657,Middle,Front-end Developer,10.000
658,Junior,Full Stack Developer,8.000
659,Senior,Mobile Application Developer,33.000
660,Junior,Back-end Developer,5.000
661,Senior,Software Development Manager,27.000
662,Senior,Team / Tech Lead,25.000
663,Middle,Front-end Developer,16.000
664,Middle,Front-end Developer,11.000
665,Senior,Mobile Application Developer,24.000
666,Junior,Back-end Developer,8.000
667,Senior,Full Stack Developer,21.000
668,Middle,Full Stack Developer,13.000
669,Senior,Software Development Manager,30.000
670,Middle,Front-end Developer,12.000
671,Junior,Back-end Developer,9.000
672,Senior,Back-end Developer,20.000
673,Middle,Game Developer,12.000
674,Middle,Full Stack Developer,20.000
676,Senior,Back-end Developer,21.000
677,Junior,Back-end Developer,8.000
678,Senior,Full Stack Developer,22.000
679,Junior,Full Stack Developer,6.000
680,Middle,Back-end Developer,12.000
681,Middle,Team / Tech Lead,13.000
682,Senior,Full Stack Developer,17.000
683,Senior,Back-end Developer,18.000
684,Junior,Full Stack Developer,9.000
685,Senior,Front-end Developer,35.000
686,Senior,Back-end Developer,25.000
687,Junior,Data Engineer,6.000
688,Junior,Full Stack Developer,6.000
689,Senior,Full Stack Developer,32.000
690,Senior,Full Stack Developer,22.000
691,Senior,Software Development Manager,22.000
692,Senior,Software Architect,22.000
693,Middle,Back-end Developer,11.000
694,Senior,Software Development Manager,20.000
695,Junior,Back-end Developer,9.000
696,Junior,Full Stack Developer,7.000
697,Senior,Software Architect,26.000
698,Senior,Full Stack Developer,27.000
700,Junior,Mobile Application Developer,5.000
701,Middle,Full Stack Developer,7.000
702,Senior,Full Stack Developer,14.000
703,Junior,Full Stack Developer,7.000
704,Junior,Full Stack Developer,6.000
705,Senior,Software Development Manager,33.000
706,Senior,Embedded Software Developer,21.000
708,Middle,Full Stack Developer,23.000
709,Middle,Full Stack Developer,12.000
710,Senior,Full Stack Developer,10.000
711,Senior,Team / Tech Lead,25.000
714,Senior,DevOps Engineer,35.000
715,Middle,Back-end Developer,27.000
716,Senior,Full Stack Developer,16.000
717,Middle,Mobile Application Developer,8.000
718,Senior,Mobile Application Developer,20.000
719,Junior,Full Stack Developer,11.000
720,Junior,Front-end Developer,10.000
721,Middle,Full Stack Developer,7.000
722,Middle,Mobile Application Developer,13.000
723,Senior,Mobile Application Developer,28.000
725,Middle,Back-end Developer,8.000
726,Middle,Back-end Developer,14.000
727,Middle,Embedded Software Developer,19.000
728,Junior,Mobile Application Developer,5.000
729,Senior,Back-end Developer,18.000
730,Senior,Back-end Developer,21.000
733,Junior,Back-end Developer,8.000
735,Senior,Back-end Developer,18.000
736,Junior,Full Stack Developer,7.000
737,Senior,Software Development Manager,50.000
739,Junior,Front-end Developer,6.000
740,Middle,Back-end Developer,12.000
741,Middle,Full Stack Developer,11.000
743,Senior,Full Stack Developer,11.000
744,Senior,Full Stack Developer,27.000
746,Senior,Full Stack Developer,20.000
747,Middle,Mobile Application Developer,19.000
748,Senior,Front-end Developer,23.000
749,Junior,Back-end Developer,6.000
750,Senior,Back-end Developer,19.000
751,Middle,Full Stack Developer,35.000
752,Senior,Front-end Developer,26.000
753,Junior,Game Developer,11.000
754,Junior,Front-end Developer,8.000
756,Middle,Front-end Developer,7.000
758,Middle,Back-end Developer,10.000
759,Senior,Back-end Developer,12.000
760,Junior,Full Stack Developer,6.000
762,Junior,Front-end Developer,12.000
763,Senior,Full Stack Developer,18.000
764,Middle,Back-end Developer,22.000
765,Middle,Full Stack Developer,5.000
766,Middle,Full Stack Developer,17.000
767,Senior,Full Stack Developer,8.000
768,Senior,Back-end Developer,23.000
769,Senior,Support Engineer,15.000
770,Junior,Full Stack Developer,5.000
771,Middle,Back-end Developer,15.000
772,Junior,Mobile Application Developer,10.000
773,Senior,Full Stack Developer,20.000
774,Senior,Software Architect,43.000
775,Senior,Full Stack Developer,13.000
776,Senior,Team / Tech Lead,24.000
777,Junior,Full Stack Developer,7.000
778,Junior,Back-end Developer,12.000
780,Senior,Full Stack Developer,17.000
781,Senior,Full Stack Developer,25.000
782,Junior,Back-end Developer,10.000
783,Junior,Back-end Developer,15.000
784,Junior,Full Stack Developer,7.000
785,Middle,QA / Test Automation Developer,15.000
786,Middle,Back-end Developer,10.000
787,Junior,Full Stack Developer,9.000
788,Junior,Back-end Developer,8.000
789,Senior,Team / Tech Lead,18.000
790,Middle,Full Stack Developer,14.000
791,Senior,Software Architect,25.000
792,Middle,Front-end Developer,15.000
793,Junior,Front-end Developer,8.000
794,Senior,Back-end Developer,23.000
795,Junior,Mobile Application Developer,11.000
796,Middle,Data Analyst,9.000
797,Junior,Front-end Developer,11.000
798,Middle,Full Stack Developer,11.000
799,Senior,Full Stack Developer,17.000
800,Senior,Full Stack Developer,10.000
801,Senior,Full Stack Developer,15.000
802,Junior,Front-end Developer,6.000
803,Junior,Full Stack Developer,15.000
804,Junior,Front-end Developer,6.000
805,Middle,Mobile Application Developer,18.000
806,Middle,Back-end Developer,8.000
807,Junior,Full Stack Developer,8.000
808,Middle,Back-end Developer,13.000
809,Middle,Full Stack Developer,12.000
810,Senior,Full Stack Developer,50.000
811,Junior,Back-end Developer,13.000
812,Middle,Full Stack Developer,16.000
814,Junior,Mobile Application Developer,14.000
815,Senior,Full Stack Developer,18.000
816,Senior,Back-end Developer,22.000
817,Junior,Front-end Developer,13.000
818,Senior,Back-end Developer,20.000
819,Middle,Back-end Developer,7.000
820,Senior,Mobile Application Developer,20.000
821,Senior,Full Stack Developer,17.000
822,Senior,Full Stack Developer,19.000
823,Junior,Full Stack Developer,7.000
824,Junior,Full Stack Developer,6.000
825,Senior,DevOps Engineer,22.000
827,Junior,Full Stack Developer,11.000
828,Middle,Full Stack Developer,14.000
829,Senior,Mobile Application Developer,21.000
830,Senior,Back-end Developer,18.000
831,Middle,Mobile Application Developer,12.000
